Voltage control
Voltage is set directly according to setter.

Constant setpoint
Value (V)
0

Stop buffer (mm), Syringe diameter (mm)
5,20.5

Time (ms),Force (N),Flowrate (ml/s),Control action (8 bit),Loadcell (24 bit),Ticks (rotations)
45243,-3.51139,0.00000,0,-122105,1
45334,-3.51293,0.00000,0,-122158,1
45425,-3.51299,0.00000,0,-122160,1
45516,-3.51302,0.00000,0,-122161,1
45607,-3.51247,0.00000,0,-122142,1
45698,-3.51145,0.00000,0,-122107,1
45789,-3.51244,0.00000,0,-122141,1
45879,-3.51317,0.00000,0,-122166,1
45970,-3.51154,0.00000,0,-122110,1
46061,-3.51104,0.00000,0,-122093,1
46153,-3.51136,0.00000,0,-122104,1
46244,-3.51066,0.00000,0,-122080,1
46334,-3.50982,0.00000,0,-122051,1
46425,-3.51390,0.00000,0,-122191,1
46516,-3.53492,0.00000,0,-122913,1
46607,-3.58085,0.00000,0,-124490,1
46698,-3.61333,0.00000,0,-125605,1
46788,-3.60736,0.00000,0,-125400,1
46880,-3.60544,0.00000,0,-125334,1
46971,-3.60538,0.00000,0,-125332,1
47062,-3.60517,0.00000,0,-125325,1
47153,-3.60421,0.00000,0,-125292,1
47243,-3.60468,0.00000,0,-125308,1
47334,-3.60538,0.00000,0,-125332,1
47425,-3.60590,0.00000,0,-125350,1
47517,-3.60613,0.00000,0,-125358,1
47608,-3.60541,0.00000,0,-125333,1
47698,-3.60608,0.00000,0,-125356,1
47789,-3.60663,0.00000,0,-125375,1
47880,-3.60701,0.00000,0,-125388,1
47971,-3.60596,0.00000,0,-125352,1
48062,-3.60552,0.00000,0,-125337,1
48152,-3.60421,0.00000,0,-125292,1
48244,-3.60302,0.00000,0,-125251,1
48335,-3.60465,0.00000,0,-125307,1
48426,-3.60471,0.00000,0,-125309,1
48517,-3.60570,0.00000,0,-125343,1
48607,-3.60485,0.00000,0,-125314,1
48698,-3.60500,0.00000,0,-125319,1
48789,-3.60407,0.00000,0,-125287,1
48881,-3.60605,0.00000,0,-125355,1
48972,-3.60675,0.00000,0,-125379,1
49062,-3.60669,0.00000,0,-125377,1
49153,-3.60803,0.00000,0,-125423,1
49244,-3.60718,0.00000,0,-125394,1
49335,-3.60477,0.00000,0,-125311,1
49426,-3.60453,0.00000,0,-125303,1
49516,-3.60506,0.00000,0,-125321,1
49608,-3.60418,0.00000,0,-125291,1
49699,-3.60442,0.00000,0,-125299,1
49790,-3.60491,0.00000,0,-125316,1
49881,-3.60529,0.00000,0,-125329,1
49971,-3.60506,0.00000,0,-125321,1
50062,-3.60407,0.00000,0,-125287,1
50153,-3.60424,0.00000,0,-125293,1
50244,-3.60302,0.00000,0,-125251,1
50336,-3.60345,0.00000,0,-125266,1
50426,-3.60427,0.00000,0,-125294,1
50517,-3.60497,0.00000,0,-125318,1
50608,-3.60672,0.00000,0,-125378,1
50699,-3.60625,0.00000,0,-125362,1
50789,-3.60444,0.00000,0,-125300,1
50880,-3.60541,0.00000,0,-125333,1
50972,-3.60558,0.00000,0,-125339,1
51063,-3.60494,0.00000,0,-125317,1
51154,-3.60581,0.00000,0,-125347,1
51244,-3.60526,0.00000,0,-125328,1
51335,-3.60456,0.00000,0,-125304,1
51426,-3.60479,0.00000,0,-125312,1
51517,-3.60465,0.00000,0,-125307,1
51608,-3.60450,0.00000,0,-125302,1
51700,-3.60421,0.00000,0,-125292,1
51790,-3.60424,0.00000,0,-125293,1
51881,-3.60450,0.00000,0,-125302,1
51972,-3.60424,0.00000,0,-125293,1
